event_id,channel_idx,dist_deg,p_max_amp,s_max_amp,depth_km
ak0237eejw69_TERRA.h5,0,2.782026644905106,3.3411714650872937,3.4052307378917726,31.4
ak0237eejw69_TERRA.h5,20,2.7837034067584625,0.05750610470427141,0.021386297964307226,31.4
ak0237eejw69_TERRA.h5,40,2.7853997756629703,0.04602072469493676,0.01781483729652394,31.4
ak0237eejw69_TERRA.h5,60,2.787096171501431,0.17824298928444396,0.029925416335332754,31.4
ak0237eejw69_TERRA.h5,80,2.788774419768777,7.279167870546968,0.4636686431645585,31.4
ak0237eejw69_TERRA.h5,100,2.7904076676505984,6.018970534186721,1.992242316259806,31.4
ak0237eejw69_TERRA.h5,120,2.7920410176217967,8.455242461541006,2.7184919780433168,31.4
ak0237eejw69_TERRA.h5,140,2.7936744701001905,4.421848716119409,1.9074246053355588,31.4
ak0237eejw69_TERRA.h5,160,2.7953080243015855,4.724108176178123,2.1825210451532793,31.4
ak0237eejw69_TERRA.h5,180,2.7969416800435765,4.519682122499223,1.0671522125555144,31.4
ak0237eejw69_TERRA.h5,200,2.7986048961704872,3.0465192723491024,0.5658369920289867,31.4
ak0237eejw69_TERRA.h5,220,2.8002765205718907,2.951888233943245,0.5319102036808168,31.4
ak0237eejw69_TERRA.h5,240,2.8019482008487717,2.2082951066801924,0.37291062248673607,31.4
ak0237eejw69_TERRA.h5,260,2.8036199380027775,1.8379199125492847,0.30273687489717077,31.4
ak0237eejw69_TERRA.h5,280,2.8052917315609656,1.299365113783095,0.3520078311260617,31.4
ak0237eejw69_TERRA.h5,300,2.8069635810507862,0.7787840642927005,0.1687670946629622,31.4
ak0237eejw69_TERRA.h5,320,2.808635487105574,1.6243907224012084,0.25349513875185326,31.4
ak0237eejw69_TERRA.h5,340,2.810307448816294,2.2004010904101077,0.7244427510114355,31.4
ak0237eejw69_TERRA.h5,360,2.8119794668850524,4.026219909991222,0.5076664250736798,31.4
ak0237eejw69_TERRA.h5,380,2.8136515404719615,5.557181845212933,0.8226979857450838,31.4
ak0237eejw69_TERRA.h5,400,2.8153236697740867,2.9726000393926615,0.41138850945103245,31.4
ak0237eejw69_TERRA.h5,420,2.816657168600198,3.1168423724747494,0.7134787098349673,31.4
ak0237eejw69_TERRA.h5,440,2.817640222564018,4.277428662488304,0.5811236253899932,31.4
ak0237eejw69_TERRA.h5,460,2.819293834691404,3.698455190844549,0.7162000709689237,31.4
ak0237eejw69_TERRA.h5,480,2.82096855099836,3.1116480324343043,0.763965850603357,31.4
ak0237eejw69_TERRA.h5,500,2.8226433192775877,2.458500212852848,1.002136945821717,31.4
ak0237eejw69_TERRA.h5,520,2.824318140168808,2.0638679360729992,0.4584304868086611,31.4
ak0237eejw69_TERRA.h5,540,2.825993013575539,2.6530001112453405,0.41240524813434354,31.4
ak0237eejw69_TERRA.h5,560,2.827667938734185,2.139312799996986,0.3231546234212233,31.4
ak0237eejw69_TERRA.h5,580,2.829342916652903,2.0140589425911246,0.329345709888649,31.4
ak0237eejw69_TERRA.h5,600,2.8310179459946525,0.8935760311646939,0.15580650422104575,31.4
ak0237eejw69_TERRA.h5,620,2.8326930274685247,0.6630699442726059,0.1337502912214181,31.4
ak0237eejw69_TERRA.h5,640,2.8343681606800053,0.7655059758914186,0.11758441572944577,31.4
ak0237eejw69_TERRA.h5,660,2.836043345833136,1.3095440976634825,0.16349568896627892,31.4
ak0237eejw69_TERRA.h5,680,2.837718582396558,2.1843109072338462,0.2403068526519524,31.4
ak0237eejw69_TERRA.h5,700,2.8393938707807687,2.904668648623619,0.28381440842562966,31.4
ak0237eejw69_TERRA.h5,720,2.841069210386172,2.607705237521631,0.220473899261384,31.4
ak0237eejw69_TERRA.h5,740,2.842744601623672,1.9451776406693877,0.26273321996736426,31.4
ak0237eejw69_TERRA.h5,760,2.844420043894117,2.673215050094025,0.24428965771104527,31.4
ak0237eejw69_TERRA.h5,780,2.846095537540031,2.628063116404436,0.22018551964887778,31.4
ak0237eejw69_TERRA.h5,800,2.8477710824677827,2.8546657739593306,0.2627162195870905,31.4
ak0237eejw69_TERRA.h5,820,2.8494746617332796,2.2585899990343115,0.21971468660035817,31.4
ak0237eejw69_TERRA.h5,840,2.8511848576363965,1.7474722545830115,0.1794947971161471,31.4
ak0237eejw69_TERRA.h5,860,2.8528950632893193,2.1132285203871275,0.1819977824670041,31.4
ak0237eejw69_TERRA.h5,880,2.8546087795683115,2.5707082047762952,0.2475994609735209,31.4
ak0237eejw69_TERRA.h5,900,2.8563255103931358,4.223236622659235,0.2876657477355917,31.4
ak0237eejw69_TERRA.h5,920,2.858042242532107,2.570876481661079,0.3288574206030296,31.4
ak0237eejw69_TERRA.h5,940,2.8597563779381283,2.3232794529964425,0.28259870290323036,31.4
ak0237eejw69_TERRA.h5,960,2.861461028821815,3.209431518358413,0.36636659557629003,31.4
ak0237eejw69_TERRA.h5,980,2.8631656952278743,2.743590301884095,0.2528850861658652,31.4
ak0237eejw69_TERRA.h5,1000,2.8648703771311945,3.0690195327007896,0.35391313817632014,31.4
ak0237eejw69_TERRA.h5,1020,2.8665349579162998,3.4457402475593097,0.3454348593147952,31.4
ak0237eejw69_TERRA.h5,1040,2.8681924947391995,3.378596197326371,0.30717643068473716,31.4
ak0237eejw69_TERRA.h5,1060,2.869850102041569,3.4884130841947316,0.28386501815070103,31.4
ak0237eejw69_TERRA.h5,1080,2.8715148093857996,4.370215211518858,0.41452745298853955,31.4
ak0237eejw69_TERRA.h5,1100,2.8732321110230177,5.7702178620500595,0.6997493777911148,31.4
ak0237eejw69_TERRA.h5,1120,2.874949414010838,3.422004685489151,0.31839767894915966,31.4
ak0237eejw69_TERRA.h5,1140,2.8766667175437504,2.822888376776947,0.26450693544464204,31.4
ak0237eejw69_TERRA.h5,1160,2.878368729873562,4.099105784014634,0.39155509123465393,31.4
ak0237eejw69_TERRA.h5,1180,2.880035293126307,9.195284704181168,0.672252603467903,31.4
ak0237eejw69_TERRA.h5,1200,2.8817019161063504,4.736757658220515,0.3905303055495031,31.4
ak0237eejw69_TERRA.h5,1220,2.8833685980484525,3.3511598496442834,0.34999323502431917,31.4
ak0237eejw69_TERRA.h5,1240,2.885035339889139,4.240800566356048,0.2921206697466928,31.4
ak0237eejw69_TERRA.h5,1260,2.8867165998072766,4.22458656425516,0.28167805438382454,31.4
ak0237eejw69_TERRA.h5,1280,2.888413508042603,2.111689370232022,0.3105405712494698,31.4
ak0237eejw69_TERRA.h5,1300,2.890110441025932,4.846847871485246,0.48401495607000866,31.4
ak0237eejw69_TERRA.h5,1320,2.8918073983496346,4.171354394432567,0.4923232464401922,31.4
ak0237eejw69_TERRA.h5,1340,2.8935043799740563,2.43159620936215,0.27761912279170087,31.4
ak0237eejw69_TERRA.h5,1360,2.8952013858596244,3.3320424501105714,0.2299306276229304,31.4
ak0237eejw69_TERRA.h5,1380,2.896898415598811,4.754652175162826,0.32977777163651856,31.4
ak0237eejw69_TERRA.h5,1400,2.8985954698196905,4.762277750250429,0.36399180875575277,31.4
ak0237eejw69_TERRA.h5,1420,2.9002925481836392,1.4634264674683628,0.10946792844278126,31.4
ak0237eejw69_TERRA.h5,1440,2.9019896505827703,1.9245047709007828,0.19564538138486012,31.4
ak0237eejw69_TERRA.h5,1460,2.903686777046726,1.1111197628264116,0.17036881995664915,31.4
ak0237eejw69_TERRA.h5,1480,2.9053839274678053,1.6732045529491528,0.13997991415634423,31.4
ak0237eejw69_TERRA.h5,1500,2.90708110187582,1.829394131656431,0.1501240924075072,31.4
ak0237eejw69_TERRA.h5,1520,2.9087783001632697,1.4143212923890178,0.16026787250915242,31.4
ak0237eejw69_TERRA.h5,1540,2.910475522291444,1.8570586760180177,0.18317714042250266,31.4
ak0237eejw69_TERRA.h5,1560,2.9121727682217338,1.5111722336708908,0.17861233800211918,31.4
